"time","cases"
1944,NA
1944.03832991102,180
1944.07665982204,271
1944.11498973306,423
1944.15331964408,465
1944.1916495551,523
1944.22997946612,649
1944.26830937714,624
1944.30663928816,556
1944.34496919918,420
1944.3832991102,423
1944.42162902122,488
1944.45995893224,441
1944.49828884326,268
1944.53661875428,260
1944.5749486653,163
1944.61327857632,83
1944.65160848734,60
1944.68993839836,41
1944.72826830938,48
1944.7665982204,65
1944.80492813142,82
1944.84325804244,145
1944.88158795346,122
1944.91991786448,194
1944.9582477755,237
1944.99657768652,318
1945.03490759754,450
1945.07323750856,671
1945.11156741958,1387
1945.1498973306,1617
1945.18822724162,2058
1945.22655715264,3099
1945.26488706366,3340
1945.30321697468,2965
1945.34154688569,1873
1945.37987679671,1641
1945.41820670773,1122
1945.45653661875,884
1945.49486652977,591
1945.53319644079,427
1945.57152635181,282
1945.60985626283,174
1945.64818617385,127
1945.68651608487,84
1945.72484599589,97
1945.76317590691,68
1945.80150581793,88
1945.83983572895,79
1945.87816563997,58
1945.91649555099,85
1945.95482546201,75
1945.99315537303,121
1946.03148528405,174
1946.06981519507,209
1946.10814510609,458
1946.14647501711,742
1946.18480492813,929
1946.22313483915,1027
1946.26146475017,1411
1946.29979466119,1885
1946.33812457221,2110
1946.37645448323,1764
1946.41478439425,2001
1946.45311430527,2154
1946.49144421629,1843
1946.52977412731,1427
1946.56810403833,970
1946.60643394935,726
1946.64476386037,416
1946.68309377139,218
1946.72142368241,160
1946.75975359343,160
1946.79808350445,188
1946.83641341547,224
1946.87474332649,298
1946.91307323751,436
1946.95140314853,482
1946.98973305955,468
1947.02806297057,650
1947.06639288159,796
1947.10472279261,1065
1947.14305270363,1241
1947.18138261465,1230
1947.21971252567,1012
1947.25804243669,981
1947.29637234771,1015
1947.33470225873,771
1947.37303216975,1031
1947.41136208077,1093
1947.44969199179,1196
1947.48802190281,1076
1947.52635181383,1029
1947.56468172485,828
1947.60301163587,669
1947.64134154689,372
1947.67967145791,171
1947.71800136893,84
1947.75633127995,71
1947.79466119097,113
1947.83299110199,108
1947.871321013,188
1947.90965092402,241
1947.94798083504,305
1947.98631074606,248
1948.02464065708,477
1948.0629705681,524
1948.10130047912,851
1948.13963039014,1415
1948.17796030116,2235
1948.21629021218,2973
1948.2546201232,3144
1948.29295003422,3169
1948.33127994524,2248
1948.36960985626,1976
1948.40793976728,2128
1948.4462696783,1901
1948.48459958932,1635
1948.52292950034,1265
1948.56125941136,1154
1948.59958932238,887
1948.6379192334,476
1948.67624914442,269
1948.71457905544,171
1948.75290896646,185
1948.79123887748,157
1948.8295687885,205
1948.86789869952,231
1948.90622861054,262
1948.94455852156,333
1948.98288843258,290
1949.0212183436,612
1949.05954825462,677
1949.09787816564,983
1949.13620807666,1586
1949.17453798768,1912
1949.2128678987,2265
1949.25119780972,2761
1949.28952772074,3388
1949.32785763176,3240
1949.36618754278,2278
1949.4045174538,2058
1949.44284736482,1884
1949.48117727584,1521
1949.51950718686,1237
1949.55783709788,869
1949.5961670089,576
1949.63449691992,381
1949.67282683094,212
1949.71115674196,108
1949.74948665298,90
1949.787816564,72
1949.82614647502,103
1949.86447638604,61
1949.90280629706,51
1949.94113620808,57
1949.9794661191,66
1950.01779603012,90
1950.05612594114,90
1950.09445585216,66
1950.13278576318,109
1950.1711156742,120
1950.20944558522,114
1950.24777549624,216
1950.28610540726,262
1950.32443531828,377
1950.3627652293,403
1950.40109514031,829
1950.43942505133,1091
1950.47775496235,1174
1950.51608487337,1275
1950.55441478439,1248
1950.59274469541,1244
1950.63107460643,836
1950.66940451745,515
1950.70773442847,308
1950.74606433949,418
1950.78439425051,592
1950.82272416153,837
1950.86105407255,1056
1950.89938398357,1593
1950.93771389459,2446
1950.97604380561,3090
1951.01437371663,4675
1951.05270362765,4610
1951.09103353867,4578
1951.12936344969,6107
1951.16769336071,7061
1951.20602327173,6637
1951.24435318275,4878
1951.28268309377,3693
1951.32101300479,2228
1951.35934291581,1752
1951.39767282683,1449
1951.43600273785,960
1951.47433264887,761
1951.51266255989,456
1951.55099247091,342
1951.58932238193,207
1951.62765229295,127
1951.66598220397,119
1951.70431211499,85
1951.74264202601,59
1951.78097193703,54
1951.81930184805,124
1951.85763175907,115
1951.89596167009,69
1951.93429158111,58
1951.97262149213,44
1952.01095140315,65
1952.04928131417,77
1952.08761122519,91
1952.12594113621,168
1952.16427104723,276
1952.20260095825,474
1952.24093086927,471
1952.27926078029,441
1952.31759069131,569
1952.35592060233,462
1952.39425051335,650
1952.43258042437,1072
1952.47091033539,1384
1952.50924024641,1319
1952.54757015743,1521
1952.58590006845,1788
1952.62422997947,1677
1952.66255989049,985
1952.70088980151,520
1952.73921971253,626
1952.77754962355,1236
1952.81587953457,2058
1952.85420944559,2241
1952.89253935661,2337
1952.93086926762,3048
1952.96919917864,3201
1953.00752908966,3701
1953.04585900068,3682
1953.0841889117,2891
1953.12251882272,3168
1953.16084873374,3456
1953.19917864476,2992
1953.23750855578,2572
1953.2758384668,1985
1953.31416837782,1464
1953.35249828884,788
1953.39082819986,650
1953.42915811088,566
1953.4674880219,498
1953.50581793292,318
1953.54414784394,217
1953.58247775496,145
1953.62080766598,117
1953.659137577,49
1953.69746748802,46
1953.73579739904,29
1953.77412731006,22
1953.81245722108,32
1953.8507871321,43
1953.88911704312,39
1953.92744695414,32
1953.96577686516,29
1954.00410677618,10
1954.0424366872,31
1954.08076659822,23
1954.11909650924,35
1954.15742642026,62
1954.19575633128,74
1954.2340862423,89
1954.27241615332,112
1954.31074606434,160
1954.34907597536,143
1954.38740588638,119
1954.4257357974,110
1954.46406570842,176
1954.50239561944,175
1954.54072553046,312
1954.57905544148,316
1954.6173853525,249
1954.65571526352,186
1954.69404517454,120
1954.73237508556,167
1954.77070499658,284
1954.8090349076,389
1954.84736481862,539
1954.88569472964,471
1954.92402464066,663
1954.96235455168,1021
1955.0006844627,1538
1955.03901437372,1795
1955.07734428474,1793
1955.11567419576,3240
1955.15400410678,5096
1955.1923340178,6038
1955.23066392882,7022
1955.26899383984,7192
1955.30732375086,5905
1955.34565366188,3025
1955.3839835729,2025
1955.42231348392,1715
1955.46064339494,1428
1955.49897330595,848
1955.53730321697,652
1955.57563312799,358
1955.61396303901,254
1955.65229295003,158
1955.69062286105,96
1955.72895277207,46
1955.76728268309,61
1955.80561259411,74
1955.84394250513,61
1955.88227241615,66
1955.92060232717,51
1955.95893223819,33
1955.99726214921,37
1956.03559206023,52
1956.07392197125,42
1956.11225188227,77
1956.15058179329,110
1956.18891170431,130
1956.22724161533,122
1956.26557152635,151
1956.30390143737,197
1956.34223134839,174
1956.38056125941,372
1956.41889117043,565
1956.45722108145,599
1956.49555099247,654
1956.53388090349,634
1956.57221081451,650
1956.61054072553,483
1956.64887063655,431
1956.68720054757,276
1956.72553045859,183
1956.76386036961,240
1956.80219028063,336
1956.84052019165,388
1956.87885010267,452
1956.91718001369,580
1956.95550992471,787
1956.99383983573,835
1957.03216974675,1472
1957.07049965777,1362
1957.10882956879,2324
1957.14715947981,3453
1957.18548939083,4101
1957.22381930185,3866
1957.26214921287,3731
1957.30047912389,3783
1957.33880903491,3420
1957.37713894593,2038
1957.41546885695,1964
1957.45379876797,1820
1957.49212867899,1336
1957.53045859001,771
1957.56878850103,474
1957.60711841205,378
1957.64544832307,238
1957.68377823409,113
1957.72210814511,56
1957.76043805613,43
1957.79876796715,51
1957.83709787817,46
1957.87542778919,66
1957.91375770021,68
1957.95208761123,84
1957.99041752225,58
1958.02874743326,66
1958.06707734428,57
1958.1054072553,120
1958.14373716632,242
1958.18206707734,320
1958.22039698836,372
1958.25872689938,415
1958.2970568104,725
1958.33538672142,577
1958.37371663244,785
1958.41204654346,1145
1958.45037645448,1049
1958.4887063655,990
1958.52703627652,1020
1958.56536618754,1076
1958.60369609856,779
1958.64202600958,504
1958.6803559206,317
1958.71868583162,194
1958.75701574264,242
1958.79534565366,362
1958.83367556468,543
1958.8720054757,633
1958.91033538672,785
1958.94866529774,1194
1958.98699520876,1283
1959.02532511978,2534
1959.0636550308,1984
1959.10198494182,2740
1959.14031485284,2961
1959.17864476386,2779
1959.21697467488,2747
1959.2553045859,2748
1959.29363449692,2348
1959.33196440794,1370
1959.37029431896,1357
1959.40862422998,1360
1959.446954141,1157
1959.48528405202,809
1959.52361396304,652
1959.56194387406,377
1959.60027378508,250
1959.6386036961,203
1959.67693360712,111
1959.71526351814,61
1959.75359342916,46
1959.79192334018,61
1959.8302532512,41
1959.86858316222,41
1959.90691307324,35
1959.94524298426,42
1959.98357289528,41
1960.0219028063,36
1960.06023271732,33
1960.09856262834,73
1960.13689253936,81
1960.17522245038,155
1960.2135523614,190
1960.25188227242,169
1960.29021218344,151
1960.32854209446,208
1960.36687200548,199
1960.4052019165,187
1960.44353182752,283
1960.48186173854,256
1960.52019164956,235
1960.55852156057,270
1960.59685147159,286
1960.63518138261,247
1960.67351129363,141
1960.71184120465,100
1960.75017111567,134
1960.78850102669,285
1960.82683093771,444
1960.86516084873,589
1960.90349075975,702
1960.94182067077,899
1960.98015058179,1347
1961.01848049281,2300
1961.05681040383,2397
1961.09514031485,3560
1961.13347022587,6001
1961.17180013689,6742
1961.21013004791,6018
1961.24845995893,5030
1961.28678986995,5248
1961.32511978097,3211
1961.36344969199,1929
1961.40177960301,1600
1961.44010951403,1279
1961.47843942505,860
1961.51676933607,651
1961.55509924709,395
1961.59342915811,335
1961.63175906913,212
1961.67008898015,179
1961.70841889117,96
1961.74674880219,75
1961.78507871321,84
1961.82340862423,81
1961.86173853525,91
1961.90006844627,73
1961.93839835729,69
1961.97672826831,39
1962.01505817933,50
1962.05338809035,58
1962.09171800137,78
1962.13004791239,92
1962.16837782341,136
1962.20670773443,174
1962.24503764545,258
1962.28336755647,251
1962.32169746749,249
1962.36002737851,240
1962.39835728953,151
1962.43668720055,120
1962.47501711157,141
1962.51334702259,140
1962.55167693361,196
1962.59000684463,267
1962.62833675565,229
1962.66666666667,185
1962.70499657769,154
1962.74332648871,170
1962.78165639973,360
1962.81998631075,457
1962.85831622177,742
1962.89664613279,812
1962.93497604381,1250
1962.97330595483,1716
1963.01163586585,2003
1963.04996577687,1923
1963.08829568788,1778
1963.1266255989,2240
1963.16495550992,2371
1963.20328542094,2073
1963.24161533196,2215
1963.27994524298,2462
1963.318275154,2782
1963.35660506502,1858
1963.39493497604,1385
1963.43326488706,1438
1963.47159479808,1450
1963.5099247091,1048
1963.54825462012,928
1963.58658453114,841
1963.62491444216,414
1963.66324435318,252
1963.7015742642,117
1963.73990417522,63
1963.77823408624,75
1963.81656399726,70
1963.85489390828,94
1963.8932238193,84
1963.93155373032,103
1963.96988364134,68
1964.00821355236,55
1964.04654346338,75
1964.0848733744,95
1964.12320328542,149
1964.16153319644,139
1964.19986310746,191
1964.23819301848,291
1964.2765229295,264
1964.31485284052,225
1964.35318275154,257
1964.39151266256,354
1964.42984257358,468
1964.4681724846,491
1964.50650239562,657
1964.54483230664,693
1964.58316221766,935
1964.62149212868,755
1964.6598220397,447
1964.69815195072,329
1964.73648186174,292
1964.77481177276,326
1964.81314168378,485
1964.8514715948,615
1964.88980150582,1008
1964.92813141684,1242
1964.96646132786,1505
